67	-27.89538	-28.71453	 1.09096	 1.08598	-0.11030	-0.16959	 0.19282	 0.21071	-0.19180	-0.11515	 0.05640	 0.01321	
68	-26.62593	-27.49162	 1.05796	 1.05102	-0.08278	-0.14707	 0.21713	 0.23657	-0.20525	-0.15606	 0.04774	 0.00292	
69	-24.97235	-25.87993	 1.01854	 1.01005	-0.05625	-0.12485	 0.23982	 0.26017	-0.21550	-0.19615	 0.03889	-0.00641	
70	-22.97167	-23.91601	 0.97277	 0.96312	-0.03094	-0.10313	 0.26083	 0.28060	-0.22857	-0.22842	 0.02982	-0.01449	
71	-20.66276	-21.63834	 0.92074	 0.91029	-0.00701	-0.08213	 0.28091	 0.29625	-0.24252	-0.25388	 0.02073	-0.02126	
72	-18.08579	-19.08684	 0.86258	 0.85165	 0.01539	-0.06205	 0.30341	 0.30297	-0.25568	-0.27337	 0.01198	-0.02684	
73	-15.16999	-16.19115	 0.79584	 0.78473	 0.03688	-0.04236	 0.33213	 0.29699	-0.26740	-0.28761	 0.00363	-0.03158	
74	-12.17413	-13.20845	 0.72567	 0.71461	 0.05576	-0.02466	 0.34539	 0.29767	-0.27610	-0.29558	-0.00346	-0.03522	
75	-9.03567	-10.07705	 0.64992	 0.63909	 0.07275	-0.00831	 0.34812	 0.30063	-0.28182	-0.29783	-0.00949	-0.03801	
76	-5.79551	-6.83790	 0.56885	 0.55837	 0.08775	 0.00663	 0.34653	 0.29931	-0.28422	-0.29430	-0.01440	-0.03995	
77	-2.49365	-3.53115	 0.48275	 0.47268	 0.10070	 0.02011	 0.34064	 0.29347	-0.28306	-0.28499	-0.01821	-0.04104	
78	 0.83114	-0.19575	 0.39197	 0.38231	 0.11156	 0.03210	 0.33024	 0.28322	-0.27813	-0.26999	-0.02094	-0.04132	
79	 4.26825	 3.25816	 0.29313	 0.28383	 0.12061	 0.04297	 0.31458	 0.26801	-0.26886	-0.24862	-0.02272	-0.04079	
80	 7.52670	 6.53805	 0.19399	 0.18494	 0.12722	 0.05193	 0.29486	 0.24910	-0.25577	-0.22282	-0.02350	-0.03955	
81	 10.70128	 9.73887	 0.09143	 0.08246	 0.13182	 0.05943	 0.27067	 0.22613	-0.23848	-0.19241	-0.02348	-0.03768	
82	 13.76138	 12.82963	-0.01404	-0.02315	 0.13449	 0.06552	 0.24221	 0.19929	-0.21693	-0.15798	-0.02279	-0.03529	
83	 16.67898	 15.78189	-0.12190	-0.13139	 0.13536	 0.07025	 0.20970	 0.16878	-0.19110	-0.12024	-0.02157	-0.03250	
84	 19.42882	 18.56997	-0.23156	-0.24171	 0.13456	 0.07368	 0.17343	 0.13482	-0.16108	-0.07995	-0.02000	-0.02948	
85	 21.98857	 21.17106	-0.34242	-0.35354	 0.13227	 0.07591	 0.13372	 0.09767	-0.12710	-0.03790	-0.01823	-0.02636	
86	 24.33883	 23.56531	-0.45385	-0.46626	 0.12866	 0.07702	 0.09094	 0.05761	-0.08951	 0.00515	-0.01645	-0.02333	
87	 26.61693	 25.89321	-0.57374	-0.58793	 0.12351	 0.07709	 0.04186	 0.01157	-0.04561	 0.05178	-0.01474	-0.02036	
88	 28.48342	 27.80767	-0.68426	-0.70045	 0.11778	 0.07624	-0.00610	-0.03353	-0.00243	 0.09461	-0.01354	-0.01809	
89	 30.09989	 29.47332	-0.79330	-0.81186	 0.11133	 0.07464	-0.05595	-0.08054	 0.04222	 0.13633	-0.01291	-0.01647	
90	 31.45934	 30.88269	-0.90019	-0.92146	 0.10437	 0.07242	-0.10730	-0.12911	 0.08738	 0.17636	-0.01304	-0.01568	
91	 32.55768	 32.03122	-1.00424	-1.02859	 0.09710	 0.06972	-0.15977	-0.17889	 0.13201	 0.21410	-0.01410	-0.01592	
92	 33.39362	 32.91722	-1.10481	-1.13259	 0.08969	 0.06665	-0.21298	-0.22952	 0.17504	 0.24899	-0.01627	-0.01733	
93	 33.96858	 33.54168	-1.20122	-1.23282	 0.08232	 0.06335	-0.26657	-0.28065	 0.21540	 0.28044	-0.01968	-0.02009	
94	 34.28655	 33.90815	-1.29286	-1.32870	 0.07514	 0.05994	-0.32021	-0.33194	 0.25204	 0.30786	-0.02449	-0.02433	
95	 34.35386	 34.02259	-1.37910	-1.41966	 0.06826	 0.05653	-0.37356	-0.38307	 0.28399	 0.33063	-0.03081	-0.03016	
96	 34.17910	 33.89316	-1.45932	-1.50525	 0.06177	 0.05321	-0.42634	-0.43371	 0.31033	 0.34813	-0.03873	-0.03769	
97	 33.77285	 33.53002	-1.53286	-1.58510	 0.05569	 0.05010	-0.47825	-0.48359	 0.33024	 0.35974	-0.04832	-0.04698	
98	 33.14756	 32.94509	-1.59894	-1.65907	 0.04988	 0.04741	-0.52903	-0.53242	 0.34300	 0.36486	-0.05962	-0.05808	
99	 32.24542	 32.08259	-1.66044	-1.73255	 0.04316	 0.04578	-0.58219	-0.58356	 0.34806	 0.36245	-0.07373	-0.07206	
100	 31.21197	 31.08143	-1.70594	-1.79688	 0.03310	 0.04873	-0.62984	-0.62951	 0.34419	 0.35231	-0.08860	-0.08689	
101	 30.00706	 29.90397	-1.73307	-1.86402	 0.01148	 0.06375	-0.67546	-0.67394	 0.33173	 0.33405	-0.10516	-0.10343	
102	 28.64495	 28.57050	-1.73109	-1.94420	 0.01679	 0.05214	-0.71823	-0.71731	 0.31044	 0.30732	-0.12336	-0.12155	
103	 27.13480	 27.10785	-1.85404	-1.88294	 0.02763	 0.03501	-0.75763	-0.75980	 0.27963	 0.27245	-0.14317	-0.14103	
104	 25.51513	 25.51437	-1.89578	-1.88606	 0.02761	 0.02840	-0.79839	-0.79638	 0.23602	 0.23256	-0.16374	-0.16243	
105	 23.80445	 23.80901	-1.89550	-1.91414	 0.02485	 0.02376	-0.83231	-0.83498	 0.18074	 0.18667	-0.18393	-0.18653	
106	 22.00110	 22.03098	-1.88672	-1.93347	 0.02155	 0.01843	-0.86627	-0.86847	 0.12156	 0.12739	-0.20661	-0.21003	
107	 20.13070	 20.19198	-1.86837	-1.94506	 0.01885	 0.01072	-0.89443	-0.90243	 0.05585	 0.05801	-0.23022	-0.23400	
108	 18.21811	 18.30384	-1.84621	-1.94315	 0.01789	-0.00111	-0.92360	-0.92986	-0.01805	-0.01890	-0.25406	-0.25862	
